D-459	2026-09-23T23:34:13.828Z	land/worker/D-242	
D-460	2026-09-23T23:34:16.537Z	land/worker/D-242	
D-461	2026-09-23T23:34:23.356Z	land/worker/D-242	
D-462	2026-09-23T23:34:26.021Z	land/worker/D-242	
D-463	2026-09-23T23:34:28.672Z	land/worker/D-242	
D-464	2026-09-23T23:34:31.342Z	land/worker/D-242	
D-465	2026-09-23T23:34:33.751Z	land/worker/D-242	
D-466	2026-09-23T23:34:36.696Z	land/worker/D-242	
D-469	2026-09-24T00:56:26.681Z	CONDUCT #19	CAP-11's acquire existed:true defect, minted D-459 in its clone (collides with case-opened coverage row D-459)
D-472	2026-09-24T01:09:02.665Z	CONDUCT #19	D-351's finding (monitor fetches Drive app shell) minted D-467 locally; SCHEDULER's D-467 is the nc-m038 re-anchor
D-480	2026-09-24T02:12:16.309Z	CONDUCT #19	D-66's finding (pdfstructure glyph-per-line) minted D-467 locally; SCHEDULER's D-467 stands
D-482	2026-09-24T02:30:00.000Z	SCHEDULER #18	UI-85 finding (1): bounds REC-59 id-arm matcher over-strict
D-483	2026-09-24T02:30:00.000Z	SCHEDULER #18	UI-85 finding (2): setup page has no risk-tier chooser
D-484	2026-09-24T02:40:00.000Z	SCHEDULER #18	UI-83 finding (1): NO_BASIS/NO_CITATION untranslated
D-485	2026-09-24T02:40:00.000Z	SCHEDULER #18	UI-83 finding (2): DEC-49 guard blind to real-plane reach
D-486	2026-09-24T02:40:00.000Z	SCHEDULER #18	BOB #32 ruling on D-464 finding 1: hidden-project run counts
D-487	2026-09-24T02:45:00.000Z	SCHEDULER #18	REC-190 finding: doorbell.test clock-edge at the knock bucket
D-490	2026-09-24T03:18:20.731Z	SCHEDULER #18	D-64 findings: renderer; render column on capture_requests
D-491	2026-09-24T03:18:20.731Z	SCHEDULER #18	D-64 findings: renderer; render column on capture_requests
D-492	2026-09-24T03:25:31.801Z	SCHEDULER #18	D-64 render-allowance admits concurrent renders against one spent_ms
D-493	2026-09-24T03:41:49.190Z	SCHEDULER #18	D-166 finding: tier1 probe labels encrypted PDFs NO-TEXT-LAYER
D-494	2026-09-24T04:21:21.119Z	SCHEDULER #18	REC-185 findings: machine-fence corpora disagree; refusal-wire sweep member-only
D-495	2026-09-24T04:21:21.119Z	SCHEDULER #18	REC-185 findings: machine-fence corpora disagree; refusal-wire sweep member-only
D-496	2026-09-24T04:32:05.618Z	SCHEDULER #18	knock limiter fixed bucket doubles the published bound (BOB #32 04:28Z)
D-497	2026-09-24T04:49:46.561Z	SCHEDULER #18	D-479 findings: directory candidate scan linear in projects; 1.discoverable claim overstates
D-498	2026-09-24T04:49:46.561Z	SCHEDULER #18	D-479 findings: directory candidate scan linear in projects; 1.discoverable claim overstates
D-499	2026-09-24T04:56:51.509Z	SCHEDULER #18	D-64 timeout ruling owed at integration
D-500	2026-09-24T05:04:54.271Z	SCHEDULER #18	D-486 watermark precision (BOB #32 05:04Z)
D-501	2026-09-24T05:22:42.391Z	SCHEDULER #18	D-481 findings: tier-2 award on raw length; same-baseline column residue
D-502	2026-09-24T05:22:42.391Z	SCHEDULER #18	D-481 findings: tier-2 award on raw length; same-baseline column residue
D-503	2026-09-24T05:33:58.651Z	SCHEDULER #18	index.mjs machine/operator fences not driven (D-494 finding)
D-504	2026-09-24T05:42:15.442Z	SCHEDULER #18	D-453's open measurements (M-132)
D-505	2026-09-24T05:53:51.155Z	SCHEDULER #18	no fence refuses a machine changing a member-set tier
D-506	2026-09-24T06:10:46.273Z	SCHEDULER #18	op=livefire verdict under ok:false (BOB #32 ruled b)
D-507	2026-09-24T07:19:15.089Z	SCHEDULER #18	STATEMENT_ACK_* and RATE_* codes without DEC-49 rows (UI-89, D-496 findings)
D-508	2026-09-24T07:19:15.089Z	SCHEDULER #18	STATEMENT_ACK_* and RATE_* codes without DEC-49 rows (UI-89, D-496 findings)
D-509	2026-09-24T16:45:13.274Z	land/worker/D-503	
D-510	2026-09-24T16:49:06.868Z	SCHEDULER #18	promote type divergence (D-505 finding 3)
D-511	2026-09-24T17:12:18.472Z	SCHEDULER #18	BOB #33 replay ruling: fence, then server-verified replay
D-512	2026-09-24T17:12:18.472Z	SCHEDULER #18	BOB #33 replay ruling: fence, then server-verified replay
D-513	2026-09-24T17:48:02.178Z	HEAD	
D-514	2026-09-24T17:51:33.710Z	HEAD	
D-515	2026-09-24T17:51:38.424Z	HEAD	
D-516	2026-09-24T18:04:13.116Z	HEAD	
D-517	2026-09-24T18:05:15.428Z	HEAD	
D-518	2026-09-24T18:53:33.912Z	HEAD	
D-519	2026-09-24T18:57:56.353Z	HEAD	
D-520	2026-09-24T19:11:46.326Z	HEAD	
D-521	2026-09-24T19:17:36.325Z	HEAD	
D-522	2026-09-24T19:47:51.549Z	HEAD	
D-523	2026-09-24T19:55:06.138Z	HEAD	
