IC-241	2026-09-24T00:11:36.540Z	CONDUCT #19	renumber at integration: D-162 (IC-231), D-260 (IC-237), REC-198 (IC-237), REC-159 (unminted)
IC-242	2026-09-24T00:11:36.540Z	CONDUCT #19	renumber at integration: D-162 (IC-231), D-260 (IC-237), REC-198 (IC-237), REC-159 (unminted)
IC-243	2026-09-24T00:11:36.540Z	CONDUCT #19	renumber at integration: D-162 (IC-231), D-260 (IC-237), REC-198 (IC-237), REC-159 (unminted)
IC-244	2026-09-24T00:11:36.540Z	CONDUCT #19	renumber at integration: D-162 (IC-231), D-260 (IC-237), REC-198 (IC-237), REC-159 (unminted)
IC-245	2026-09-24T01:08:57.811Z	CONDUCT #19	renumber at integration: D-351's IC-240 (REC-187 holds IC-240)
IC-246	2026-09-24T01:10:07.260Z	c19-unionfix	op=groupidentity domain_checks cut + op=statementack documents bound refusal (I3)
IC-247	2026-09-24T01:14:49.338Z	CONDUCT #19	renumber at integration: D-291's IC-240 (REC-187 holds IC-240)
IC-248	2026-09-24T01:15:07.504Z	CONDUCT #19	pre-minted for WORKER REC-192 (main's mintid is clone-local until D-242 lands)
IC-249	2026-09-24T01:31:00.616Z	CONDUCT #19	REC-189's IC (MACHINE_CANNOT_SET_RISK_TIER on op=promote), minted at integration
IC-250	2026-09-24T01:42:05.031Z	CONDUCT #19	renumber at integration: D-461's IC-245 (coord ledger gave IC-245 to D-351)
IC-251	2026-09-24T01:42:10.118Z	CONDUCT #19	pre-minted for WORKER REC-190
IC-252	2026-09-24T01:43:41.729Z	CONDUCT #19	pre-minted for WORKER D-64
IC-253	2026-09-24T01:46:25.704Z	CONDUCT #19	renumber at integration: D-462's IC-245 (coord gave IC-245 to D-351)
IC-254	2026-09-24T02:10:49.602Z	CONDUCT #19	renumber at integration: D-464's IC-245 (coord gave IC-245 to D-351)
IC-255	2026-09-24T02:11:10.415Z	CONDUCT #19	pre-minted for WORKER REC-184
IC-256	2026-09-24T02:19:42.967Z	CONDUCT #19	REC-188's IC (bio-case-document/3), minted at integration
IC-257	2026-09-24T03:18:24.547Z	land/worker/REC-185	
IC-258	2026-09-24T03:27:18.240Z	land/worker/D-486	
IC-259	2026-09-24T04:30:31.486Z	land/conduct/c20-batch12	
IC-260	2026-09-24T04:42:53.171Z	land/conduct/c20-batch12	
IC-261	2026-09-24T05:14:05.229Z	land/conduct/c20-batch15	
IC-262	2026-09-24T05:44:15.727Z	land/worker/D-496	
IC-263	2026-09-24T05:47:17.055Z	land/conduct/c20-batch16	
IC-264	2026-09-24T06:21:37.257Z	land/conduct/c20-batch18	
IC-265	2026-09-24T15:55:11.826Z	land/worker/D-506	
IC-266	2026-09-24T16:00:43.261Z	land/worker/D-505	
IC-267	2026-09-24T16:09:06.595Z	land/worker/REC-195	
IC-268	2026-09-24T16:10:16.083Z	land/worker/D-497	
IC-269	2026-09-24T16:15:45.661Z	land/worker/REC-194	
IC-270	2026-09-24T16:21:17.032Z	D-507	six STATEMENT_ACK_* codes become catalogued rows C-82.2..C-82.7 with canned translations; CATALOG_VERSION moves
IC-271	2026-09-24T16:37:19.048Z	land/worker/D-508	
IC-272	2026-09-24T16:48:30.337Z	land/worker/REC-212	
IC-273	2026-09-24T16:50:55.648Z	land/worker/REC-211	op=proposedispose takes definitionVersion (the version the member SAW) and refuses DEFINITION_MOVED when the declared flow has been revised since
IC-274	2026-09-24T17:36:08.511Z	land/worker/D-492	
IC-275	2026-09-24T17:36:46.025Z	land/worker/D-499	
IC-276	2026-09-24T17:59:16.973Z	land/worker/D-491	
IC-277	2026-09-24T17:59:46.040Z	land/worker/D-490	
IC-278	2026-09-24T18:12:48.853Z	land/worker/D-511	
IC-279	2026-09-24T18:32:33.160Z	D-510	promote projects the document's own object_type and refuses a disagreeing envelope
IC-280	2026-09-24T18:42:11.778Z	land/worker/D-472	
IC-281	2026-09-24T19:46:09.717Z	HEAD	
IC-282	2026-09-24T19:48:53.863Z	HEAD	
IC-283	2026-09-24T20:07:29.629Z	land/worker/FW-23	
IC-284	2026-09-24T20:15:33.415Z	land/worker/REC-200	
IC-285	2026-09-24T20:20:47.500Z	land/worker/REC-199	
IC-286	2026-09-24T20:53:23.693Z	land/worker/D-513	
IC-287	2026-09-24T20:58:36.736Z	HEAD	
IC-288	2026-09-24T21:23:56.774Z	land/worker/D-516	
IC-289	2026-09-24T21:24:48.479Z	land/worker/REC-213	
IC-290	2026-09-24T22:39:25.759Z	land/worker/D-552	
IC-291	2026-09-24T22:47:09.352Z	WORKER REC-214	REC-214: promote refuses a non-act revision changing an action's risk tier or its history; op=actionrisktier added
IC-292	2026-09-24T23:09:25.743Z	land/worker/D-521	
IC-293	2026-09-24T23:21:51.385Z	HEAD	
IC-294	2026-09-24T23:21:55.896Z	HEAD	
IC-295	2026-09-24T23:22:00.680Z	HEAD	
IC-296	2026-09-25T01:06:31.741Z	land/worker/REC-221	
IC-297	2026-09-25T02:17:38.580Z	CONDUCT #21	c21-batch28 integration: ICs the rows assigned to the integrator
IC-298	2026-09-25T02:17:38.580Z	CONDUCT #21	c21-batch28 integration: ICs the rows assigned to the integrator
IC-299	2026-09-25T02:17:38.580Z	CONDUCT #21	c21-batch28 integration: ICs the rows assigned to the integrator
IC-300	2026-09-25T02:17:38.580Z	CONDUCT #21	c21-batch28 integration: ICs the rows assigned to the integrator
IC-301	2026-09-25T02:17:38.580Z	CONDUCT #21	c21-batch28 integration: ICs the rows assigned to the integrator
IC-302	2026-09-25T02:17:38.580Z	CONDUCT #21	c21-batch28 integration: ICs the rows assigned to the integrator
IC-303	2026-09-25T02:17:38.580Z	CONDUCT #21	c21-batch28 integration: ICs the rows assigned to the integrator
IC-304	2026-09-25T02:17:38.580Z	CONDUCT #21	c21-batch28 integration: ICs the rows assigned to the integrator
IC-305	2026-09-25T02:17:38.580Z	CONDUCT #21	c21-batch28 integration: ICs the rows assigned to the integrator
IC-306	2026-09-25T02:17:38.580Z	CONDUCT #21	c21-batch28 integration: ICs the rows assigned to the integrator
IC-307	2026-09-25T02:17:38.580Z	CONDUCT #21	c21-batch28 integration: ICs the rows assigned to the integrator
IC-308	2026-09-25T02:17:38.580Z	CONDUCT #21	c21-batch28 integration: ICs the rows assigned to the integrator
IC-309	2026-09-25T02:17:38.580Z	CONDUCT #21	c21-batch28 integration: ICs the rows assigned to the integrator
IC-310	2026-09-25T02:17:38.580Z	CONDUCT #21	c21-batch28 integration: ICs the rows assigned to the integrator
IC-311	2026-09-25T02:17:38.580Z	CONDUCT #21	c21-batch28 integration: ICs the rows assigned to the integrator
IC-312	2026-09-25T02:17:38.580Z	CONDUCT #21	c21-batch28 integration: ICs the rows assigned to the integrator
IC-313	2026-09-25T02:17:38.580Z	CONDUCT #21	c21-batch28 integration: ICs the rows assigned to the integrator
IC-314	2026-09-25T02:17:38.580Z	CONDUCT #21	c21-batch28 integration: ICs the rows assigned to the integrator
IC-315	2026-09-25T02:17:38.580Z	CONDUCT #21	c21-batch28 integration: ICs the rows assigned to the integrator
IC-316	2026-09-25T02:17:38.580Z	CONDUCT #21	c21-batch28 integration: ICs the rows assigned to the integrator
IC-317	2026-09-25T02:17:38.580Z	CONDUCT #21	c21-batch28 integration: ICs the rows assigned to the integrator
IC-318	2026-09-25T02:44:28.723Z	WORKER REC-147	REC-147: contradiction judgement + candidate table
IC-319	2026-09-25T02:50:45.769Z	land/worker/MK-7	
IC-320	2026-09-25T02:56:09.504Z	land/worker/REC-150	
IC-321	2026-09-25T06:41:15.633Z	CONDUCT#22	REC-186: op=projectleave refuses the only owner LAST_OWNER_CANNOT_LEAVE (c22-batch29)
IC-322	2026-09-25T06:41:31.561Z	CONDUCT#22	REC-162: SESSION_ROLE_CANNOT_REACH_OP carries session+reachedBy where it carried role (c22-batch29)
IC-323	2026-09-25T06:41:36.689Z	CONDUCT#22	REC-196: reads naming a discoverable project's own id answer C-70.1 at EXISTENCE (c22-batch29)
IC-324	2026-09-25T06:41:41.805Z	CONDUCT#22	D-521b: C-82.1 retired; case_documents_limit/_truncated leave op=statementack's answer (c22-batch29)
IC-325	2026-09-25T06:41:46.876Z	CONDUCT#22	D-561: op=publishedbytes NOT_FOUND->NO_PUBLISHED_PART, TOO_LARGE->CONTAINER_TOO_LARGE, OBJECT_MISSING (c22-batch29)
